;tweetid;emoji;stance;emotion;toxic_multi
2809;1435144719684849666;['🙏'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2810;1441393323265069066;['🌏', '🌍', '🌎', '✊'];believe;[0, 1, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2811;1424709175507099652;['😫', '😢'];believe;[1, 0, 1, 1, 0, 1, 1, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2812;1432385242942296070;['🌎'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2813;1424743296392470531;['⏰', '2⃣', '1⃣'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2814;1433724731040088064;['💪'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2815;1430907251699556361;['🗣️'];ambiguous;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2816;1432583936350228482;['🌍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2817;1436698567607939085;['😱', '😨'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2818;1553474246986301442;['😂'];deny;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2819;1438406593100517382;['💷'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2820;1423778129248759808;['👏'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2821;1427860920030711811;['🌎'];ambiguous;[0, 0, 0, 1, 1, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2822;1424718009667575811;['💪'];believe;[1, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2823;1428251094229164032;['‼️'];ambiguous;[0, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2824;1432517700769746950;['🤮'];ambiguous;[0, 0, 1, 1, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2825;1443095172867366927;['🔴'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2827;1438205119858884613;['🌲', '🌳'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2828;1441777128471597060;['👏🏻', '❤'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2831;1458548321115688967;['👍'];deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2832;1433799544907735044;['✔'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2833;1435864917920321540;['🌎'];believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2834;1452914083943141380;['😳', '😐', '🧐', '🤣', '🙄', '😂'];deny;[1, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2835;1426916588612030468;['🌞', '🌍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2836;1421952163819962381;['🌴'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2837;1441465177019494405;['🎸', '🌍', '🌏', '🌎', '🎶'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2838;1420853168049639427;['🔥'];believe;[1, 0, 0, 1, 0, 0, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2839;1431606997091241988;['🌎'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2840;1439087898557513731;['☝🏻'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2843;1425478247115075586;['🌻', '💚', '🌞'];believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2844;1436976756318158848;['❓'];deny;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2845;1433453190008160262;['🌏', '🙏', '💜'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2846;1563534322187251712;['👇'];deny;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2847;1426224132295860228;['🤩', '✨', '❤', '🙌'];believe;[0, 1, 0, 0, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2848;1421485500053954568;['😍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2849;1422286328998268947;['😱'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2850;1424828158713466886;['😪'];believe;[1, 0, 1, 1, 0, 1, 0, 1, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2852;1483368985588641794;['👇'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2853;1420865281237323787;['🌏', '💪🏾'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2854;1435242209574539266;['🇨🇦', '⚡'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2855;1433120265878310916;['🧵'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2856;1425940172567244800;['😰', '🙏', '🌏'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2857;1426106455090937858;['💚'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2858;1422572800859164673;['🏝️'];ambiguous;[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2859;1441886980481040391;['💜'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2860;1439261246696603657;['🌍', '📢'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2861;1423285373900234768;['🌍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2862;1429777952460312576;['🌏', '👣', '🍃'];ambiguous;[1, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2864;1428245971650027521;['💙', '🇲🇽'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2866;1429511219979894789;['🌍', '💚'];believe;[0, 1, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2867;1568144310557904896;['🇺🇲'];deny;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2868;1442581726858031112;['📅', '🎙'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2869;1452634494226210817;['🌍', '🔥'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2870;1421751555003273220;['🌎'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2871;1568343066959921154;['🤬'];deny;[0, 0, 1, 0, 0, 0, 0, 0, 0, 1];[1, 0, 1, 1, 0, 0, 1, 0]
2873;1430515737412702208;['⬇️', '💡', '🌎'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2874;1436298917017231362;['📢'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2875;1430462929099386883;['🙏'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2876;1428237773497159680;['🌍', '🌎'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2878;1426091138415566850;['🌍', '🌏', '🌿', '🌎', '🌱', '❤️', '🌳'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2879;1441413638183555086;['🌏', '🤩', '❗'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2881;1467631943290273794;['🤷\u200d♂️'];deny;[1, 0, 1, 0, 0, 1, 1, 1, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2882;1439007938186674176;['\U0001fa7a', '🌍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2884;1515389597869555717;['👏'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2885;1428643152982945793;['🛴'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2886;1425897698327252994;['🇨🇦', '🔥'];believe;[0, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2887;1437983492587982853;['🤣', '😂'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2888;1424795693416271881;['⚰️', '☠️', '🔥', '🆘'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 1, 0, 0, 0, 0, 0]
2889;1442848647469801472;['📰'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2890;1485266073742196742;['👇'];deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2891;1430576175492050945;['🍷', '😢'];ambiguous;[0, 0, 0, 1, 0, 1, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2892;1438521745338781696;['💩'];deny;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2893;1438784125561831429;['👊', '🌏', '❤'];believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2894;1564475184563863553;['🙄'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 1, 1, 0, 0, 0, 0]
2895;1425381335863107586;['🏭'];believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2896;1441044881535901700;['🌿', '🛤️', '🚅'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2897;1425013607113318424;['🤩'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2899;1437862935901081600;['🌎'];believe;[0, 1, 0, 1, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2901;1427744709615648771;['🙌', '🌎'];believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2903;1446424926186098692;['🚲', '🙌', '🌍'];believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2904;1557743394092621824;['👇'];deny;[0, 0, 1, 0, 0, 1, 0, 0, 0, 1];[1, 0, 1, 1, 0, 1, 1, 0]
2905;1425366381709733888;['👦', '🧕🏿', '📣'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2906;1426168262254080002;['🌿'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2907;1433832043608219660;['🗻', '👗'];ambiguous;[0, 0, 0, 0, 0, 0, 1, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2908;1428061795814723588;['🌳'];believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2910;1425404124841926660;['♻️'];believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2911;1424656538266910720;['😠', '🌍', '😡', '🌏', '🤬', '🌎'];believe;[1, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 1, 0, 0, 0]
2912;1487772427392327683;['🙄'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2913;1436087133308080128;['🐝'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2914;1568155465795907585;['🇺🇲'];deny;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
2915;1470392285242093573;['🤣'];deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 1, 0, 0, 0, 0, 0]
2917;1431696953201643522;['😱'];ambiguous;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2919;1433736296187326473;['🌏'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2920;1442903024825892869;['📅', '🎙'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2921;1442586326856044544;['📅', '🎙'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2922;1430544729016573962;['🌟', '📢'];ambiguous;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2923;1447253521733148674;['🧵'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2924;1433344592418680832;['⬇️', '🌊'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2927;1433408376751509504;['🇮🇪', '🎯'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2928;1459796106183806977;['😘', '🤣', '🥰'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2929;1422295733357580312;['👿'];ambiguous;[0, 1, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 1, 0, 0, 0, 0, 0]
2930;1423713043465265156;['😊', '💚'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2931;1445676804283396104;['🇵🇭'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2934;1442839200202690573;['🌍', '😎', '🌥'];believe;[0, 0, 0, 0, 1, 1, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2935;1431240678042918921;['🇬🇧', '🌎'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2936;1432089422795874304;['🌎'];believe;[0, 0, 0, 0, 1, 1, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2937;1442904029390991361;['📅', '🎙'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2938;1432747966499012610;['😟'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 1, 0, 0, 0]
2939;1426210089359364096;['😄'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2940;1564813407714680834;['🍻', '🤡'];deny;[1, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2941;1431422734932713478;['🤔'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2942;1441062317521842179;['🇬🇧'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2945;1445021724487999493;['🌎', '🌱'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2946;1441456348290588673;['👋'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2947;1424393503820423181;['🌏'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2948;1520251424084729857;['🌸', '🐸', '🐷', '❗'];deny;[0, 0, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2949;1433671099229753346;['🌍', '🗣️'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2950;1430967694472454153;['📢'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2951;1425447413129547780;['🇩🇰'];ambiguous;[1, 0, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2952;1423758494033793029;['👊', '🌎'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2954;1443668697550397446;['😂'];believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2955;1440682675392581636;['👏'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2957;1445957554652155907;['🇵🇰', '🇦🇺'];believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2958;1431348672546148356;['🎓'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2959;1523636558817292288;['⬇️'];deny;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2960;1443223694776553472;['➡️', '📢'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2961;1442907649364795392;['🇺🇳', '👇', '🇺🇸'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2962;1430084528161312794;['👀', '➡️'];believe;[0, 1, 0, 1, 0, 0, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2963;1440965058654347269;['🌍', '💪'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2964;1427631315894120451;['🌎'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2966;1433314394046287878;['😐'];ambiguous;[0, 1, 0, 1, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2967;1433000632542240772;['🔗', '👉'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2968;1421406988563537921;['🐋', '😊'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2969;1440405484423368708;['🚨'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2970;1439899640044789761;['⚙️', '✏️'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2973;1424339654044704774;['🏆'];ambiguous;[0, 1, 0, 0, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2974;1445994764088721412;['👉'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2976;1428972888116269059;['🗑', '♻', '🚯'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2978;1434543108419723267;['♻️'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2980;1425141311808679937;['💯'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2981;1428201917008596992;['‼️'];believe;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2982;1427662808062185474;['‼️'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2983;1428857631855153154;['🌍', '🌎', '💥'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2984;1433288120414269442;['🌿', '❤', '🍃'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2986;1552362070502297601;['🔥'];deny;[1, 0, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2987;1453061637712322566;['🇮🇹'];believe;[0, 0, 0, 1, 0, 1, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2988;1430307768481767428;['🌏', '🌍', '🌎'];believe;[1, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2989;1572648677281234948;['👇'];deny;[1, 0, 1, 1, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2990;1442556041296809987;['📅', '🎙'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2992;1440595772282589196;['💪', '📖'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2993;1445238353667006464;['🇸🇨'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2995;1433908982893195265;['👍', '😳'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2996;1434797871849738240;['🔴', '🔥', '\U0001f7e2', '\U0001f7e0'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2997;1429030395883008000;['💚', '👍', '🙂'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2998;1428257684214722560;['‼️'];ambiguous;[0, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
2999;1425612714978729988;['🤣', '😂'];believe;[1, 1, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 1, 0, 0, 0, 0]
3000;1427080684892430337;['✨'];ambiguous;[0, 0, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
3001;1433384474067312642;['🇬🇧', '🌱'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3002;1422247574296223751;['🙌🏽'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3003;1446418699871739905;['☀️'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3005;1433815199203487746;['👩\u200d🌾'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3006;1431199317201719299;['🙄', '🤔'];believe;[1, 0, 1, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
3009;1424716092291887107;['👣', '📌'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
3010;1446023692199337987;['🤝', '🔥'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3011;1446422618782027776;['🏭', '✏️'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3012;1438566326725926914;['👇🏽'];believe;[0, 1, 0, 1, 0, 0, 1, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3013;1445351544950439936;['🌏', '♻️'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3014;1425490319160774657;['💚'];believe;[1, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3015;1443673458735566852;['🌿', '🌎'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3016;1437753003541475331;['🤝', '🚨'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3017;1422319765151010823;['🙏', '❤'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3018;1446350247064526848;['🌍'];believe;[1, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
3019;1442469598696194057;['🎙'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3020;1553816294830620674;['👇'];deny;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3021;1430824947149119493;['🌍', '🌱'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3022;1421774839828946945;['🗣️'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
